"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"15","@chiaracntrs ???",0,FALSE,FALSE,"832348853634531329","chiaracntrs","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017","832348678316761088","739876668697894912","und",59,FALSE,"Longwy, France","3385234624","@ibra_official @guizlabanquise @gojeve_7g @thommills",TRUE,"Tue Jul 21 00:04:55 +0000 2015",53428,736,18000,FALSE,NA,"meunier","Pacific Time (US & Canada)","fr",-28800,914,"mme_ibrahimovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Currently trying to decide what new jams to add to our set for our next shows. ������������������",0,FALSE,FALSE,"832348853655465986",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",13,FALSE,"Houston texas ","826156362","Costa RIcan.Musician.percussionist.Drummer.Dream follower.livin life and conquering goals one at a time.Making moves. http://www.facebook.com/royalehouston",TRUE,"Sat Sep 15 23:57:38 +0000 2012",14545,232,8821,FALSE,"http://Www.Youtube.com/saprijean","Jean Carlo Arce","Central Time (US & Canada)","en",-21600,627,"Arce27Jean","US","United States","city","Houston, TX",NA,NA,29.838495,-95.4464865,NA,NA,NA,NA
"17","@lexaxtina he's my rep too! And a fuggirls fan? Keep it up Don.",0,FALSE,FALSE,"832348853663891461","lexaxtina","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017","832341894004891649","46434840","en",1,FALSE,NA,"19171526","From Lex, KY to DC via Charlottesville/UVA. Wife, brand new mom, and Caps fan. Oh, work in finance/accounting but who cares about that.",FALSE,"Mon Jan 19 04:13:49 +0000 2009",1001,71,876,FALSE,NA,"Jenn Smith Caines","Eastern Time (US & Canada)","en",-18000,194,"smithcaines",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Planning a trip to Puerto Rico ������������ ������������",0,FALSE,FALSE,"832348853647134721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",4,FALSE,"North Carolina, USA","46466067","22 | Future Physical Therapist | Ig: @raishajanae #RavenNation #BlackLivesMatter #BlackGirlMagic",TRUE,"Thu Jun 11 19:23:06 +0000 2009",22178,2002,5234,FALSE,NA,"Nigist","Central Time (US & Canada)","en",-21600,1923,"__hershey_kiss_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","@careyfrozt you are a very good actor well done",0,FALSE,FALSE,"832348845283672066","careyfrozt","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:03 +0000 2017",NA,"17632275","en",3,FALSE,NA,"3366619138","PIA Mia ❤️",FALSE,"Wed Jul 08 20:51:07 +0000 2015",76946,3643,140576,FALSE,NA,"Harryo'connell",NA,"en",NA,5001,"harryoconnell97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","Nueva ilusión ������������",0,FALSE,FALSE,"832348853638725633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"es",3,FALSE,"Estado de México","293211483","Trabajadora Social en formación 8/9 ������. #UAEMéx... Soy un conjunto de emociones en modo aleatorio. Amo los gatos ❤️. Since 1995.",TRUE,"Wed May 04 23:28:30 +0000 2011",16033,551,4491,FALSE,"https://www.facebook.com/dayanne.tafolla","D α y α n n e ♥","Mexico City","es",-21600,981,"DayanneTafolla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","RT @e5pz362jwyif: この副業めっちゃオススメｗ

これ→https://t.co/hNxCpn3KXx

1日数回メールするだけで1万円になるｗ https://t.co/NqyUN8LHB6",6,FALSE,FALSE,"832348853672222720",NA,"<a href=""https://twitter.com/YukiEwyrvgb"" rel=""nofollow"">ゆきdesu</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ja",3,FALSE,NA,"4206247253",NA,FALSE,"Tue Nov 17 01:48:47 +0000 2015",8254,686,0,FALSE,NA,"Sayaka zinbo",NA,"ja",NA,3071,"v9xwm2ph5idf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://tnn24.click/a/AIMFc","https://t.co/hNxCpn3KXx"
"22","【Taller JARDINCITO】
¡Este sábado el nuevo taller de teatro será impartido por la actriz, productora y vestuario... https://t.co/aCJubQ3ivq",0,FALSE,FALSE,"832348853655461888",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"es",20,FALSE,"Mexico city","204110713","Fundación Paisaje Social es una Asociación Civil sin fines de lucro. El arte como medio para reforzar las relaciones interpersonales. 非営利団体ソーシャルランドスケープ　日西語",FALSE,"Sun Oct 17 23:21:28 +0000 2010",9012,2309,205,FALSE,"http://paisajesocial.org","Paisaje Social A.C.","Mexico City","en",-21600,2507,"PaisajeSocial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://fb.me/6IkFjtkWZ","https://t.co/aCJubQ3ivq"
"23","RT @Enriqueinigo: @TalaveraPL092 Este mismo timo lo intentan todos los años otros diciendo ser de La Revista de Guardia Civil o de Hacienda",2,FALSE,FALSE,"832348853634531330",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"es",2,FALSE,"Talavera de la Reina","404905995",NA,FALSE,"Fri Nov 04 15:38:32 +0000 2011",1272,20,1918,FALSE,NA,"Carlos",NA,"es",NA,109,"ctodopresion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","For those few of you going ""huh?"" fracking is causing Oklahoma earthquakes. https://t.co/oVMd2qE4VH  #resist https://t.co/NMnr047Jex",0,FALSE,FALSE,"832348853672222721",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",0,FALSE,NA,"1689305016","Blogging the Mendel Beilis trial transcript in English; Torah urban legend busting; gardening, DIY",FALSE,"Wed Aug 21 22:03:33 +0000 2013",1471,6,399,FALSE,"http://www.pajheil.blogspot.com","Patricia Heil","Eastern Time (US & Canada)","en",-18000,20,"PatTheTerrible",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://money.cnn.com/2016/09/03/news/economy/oklahoma-earthquake-fracking-oil/","https://t.co/oVMd2qE4VH"
"25","RT @Psicoretraso: :') https://t.co/EoeoRdaKtO",165,FALSE,FALSE,"832348853647110144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"und",1,FALSE,NA,"2948405140","Gaudiu del que heu votat peperos",FALSE,"Mon Dec 29 03:55:22 +0000 2014",908,60,42,FALSE,NA,"joan ramon",NA,"es",NA,369,"joanramon65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","RT @Frankwatching: 4 populaire e-books, templates &amp; webinars: van customer journey tot SEO https://t.co/eATkVKZqD8 #adv https://t.co/peC01x…",4,FALSE,FALSE,"832348853634473985",NA,"<a href=""http://app.softrunner.nl/"" rel=""nofollow"">Softrunner_eu</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",142,FALSE,"Nederland","809066154434162688","Softrunner.nl - Internet Marketing, Websites, Copywriting, content, Seo and more...",FALSE,"Wed Dec 14 16:02:57 +0000 2016",1624,802,6447,FALSE,NA,"Softrunner.EU",NA,"nl",NA,2187,"Softrunner_eu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.frankwatching.com/archive/2017/02/16/4-populaire-e-books-templates-webinars-customer-journey-tot-seo/","https://t.co/eATkVKZqD8"
"27","@medddooo_28 @D7emk طرب يبوقلبي ماقصرتوا والله هذا الشششغل ولابلاششش ������������������������������������������",0,FALSE,FALSE,"832348853638676480","medddooo_28","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017","832348227924086786","1185665778","ar",1,FALSE,"Alhilal","716210657","جزء مني لو تعب , اتعب معه @alhilal_fc ولاتطيل النظر الى تغريداتي لربما يصيبك سهم العشق بالهلال",TRUE,"Tue Oct 15 14:51:49 +0000 2013",7275,498,113,FALSE,"http://alhilal.com","ahmad Bin mohamed⚡️","Minsk","ar",10800,1468,"amq00x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Você chega em casa e tem essa bomba aqui... que vontade de chorar que eu to https://t.co/hskA9yPo8q",0,FALSE,FALSE,"832348853655498754",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"pt",2,FALSE,"na merda","2242398366","tem muito Fifth Harmony sim e banda de gênero neutro que pega peças aleatórias no armário e sai pra fazer show chamada Paramore 



1/7/16 - 5H tour RJ",FALSE,"Thu Dec 12 13:49:54 +0000 2013",16812,525,2401,FALSE,"http://soulphotographic.tumblr.com/","lavinia 92%","Brasilia","pt",-7200,714,"5hfrompmore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/Tropa_5H/status/832243215327776773","https://t.co/hskA9yPo8q"
"29","放課後に、仕込んでください https://t.co/l7A0XLvtq3 https://t.co/kf4gBBQBIV",0,FALSE,FALSE,"832348853642809345",NA,"<a href=""http://sample.com"" rel=""nofollow"">harukaApp</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ja",4,FALSE,NA,"739439977121996800","優しいおじさんが好き",FALSE,"Sun Jun 05 12:53:23 +0000 2016",30902,304,0,FALSE,NA,"はるか",NA,"ja",NA,18,"ura_haruka_ero",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://bit.ly/1XsWwC8","https://t.co/l7A0XLvtq3"
"30","67% of people say that lack of storage would affect their buying decision! #OrganizationIsKey",0,FALSE,FALSE,"832348853647060993",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",24,FALSE,"Carlsbad California","191164628",NA,TRUE,"Wed Sep 15 19:20:55 +0000 2010",1626,42,7,FALSE,"http://www.RearickEstates.com","Andrew Rearick","Pacific Time (US & Canada)","en",-28800,24,"ARearick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Mi único chico es Chano ������������",0,FALSE,FALSE,"832348853659639809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"es",7,FALSE,"chano","725073774","solo encontra tu lucha y no la abandones..♡ !",TRUE,"Mon Jul 30 02:16:39 +0000 2012",56551,3410,23352,FALSE,"http://Instagram.com/sofibonner","sofi","Buenos Aires","es",-10800,531,"sofiiibonner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","RT @Rubiu5: Nuevo video humanos! :D Preparad las tetas por que este juego de terror japonés puede causaros un trauma https://t.co/7y3pmx80o…",2217,FALSE,FALSE,"832348853663834115",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"es",2,FALSE,"La Calera, Chile","4416210688",";v",FALSE,"Tue Dec 08 13:35:20 +0000 2015",2797,109,3032,FALSE,NA,"Alma Trujillo alv :v","Santiago","es",-10800,213,"Alma_CDSforevah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Tô chateada, passei o dia inteiro avoada",0,FALSE,FALSE,"832348853663887361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"pt",0,FALSE,"RJ","716831286",NA,TRUE,"Wed Jul 25 21:49:40 +0000 2012",6287,322,4873,FALSE,NA,"Lelê",NA,"pt",NA,329,"Leticiadaroch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","プロ野球スピリッツA攻略情報まとめ！ : 20連で一点狙いのサファテきて終わったんだけどもう10連行っとくべきですかね https://t.co/Fe7JV0smLl　#プロスピa　#プロ野球スピリッツA　#拡散希望　#相互　#followme #refollow",0,FALSE,FALSE,"832348853634412544",NA,"<a href=""http://blog.livedoor.com/"" rel=""nofollow"">livedoor Blog</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ja",16,FALSE,NA,"706748932634750976","プロ野球スピリッツAの最新情報、攻略情報をまとめサイトです。 攻略から裏技、リセマラ情報毎日更新！
http://prospi.liblo.jp/  #ﾌﾟﾛｽﾋﾟ",FALSE,"Mon Mar 07 07:50:51 +0000 2016",7137,446,15,FALSE,NA,"プロ野球スピリッツA攻略情報まとめ！",NA,"ja",NA,168,"AG89v3v7v",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://prospi.liblo.jp/archives/18055974.html","https://t.co/Fe7JV0smLl"
"35","67% of people say that lack of storage would affect their buying decision! #OrganizationIsKey",0,FALSE,FALSE,"832348853663842304",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",47,FALSE,"Atlanta, GA","87468389","REALTOR with @KWRI. Specialize in 1st time home buyers, green homes, luxury & more. Avid #tennis player, sports fan & dog lover.",FALSE,"Wed Nov 04 15:57:01 +0000 2009",1853,371,62,FALSE,"http://www.liveatlantaga.com","Ariel Baverman","Eastern Time (US & Canada)","en",-18000,531,"RealEstateBave",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","عروض الكترونيات غاز السلام البحرين على الغسالات والمجففات 4 عروض اعلان 16 فبراير2017 #البحرين #تخفيضات… https://t.co/mmdoX56QLX",0,FALSE,TRUE,"832348853672177665",NA,"<a href=""http://6dec.com"" rel=""nofollow"">bh_sale_pro</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ar",0,FALSE,"Bahrain","823432303460450304","‏‏‏قناة متخصصة بأحدث العروض التروجية في البحرين",FALSE,"Mon Jan 23 07:28:54 +0000 2017",1025,315,28,FALSE,NA,"تخفيضات البحرين","Pacific Time (US & Canada)","en",-28800,4996,"bh_sale_pro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/i/web/status/832348853672177665","https://t.co/mmdoX56QLX"
"37","「単に不思議だったから。もしもきみたちが人間なのだとしたら、屍鬼と人間は共存できるということになるんじゃないかと思って」「下僕になることを共存、と言って差し支えないのであれば、共存は可能なのでしょうね」「下僕なのかい？」「その言葉で正しいんじゃないかな」（下巻P528）",0,FALSE,FALSE,"832348853638684672",NA,"<a href=""https://twitter.com/home"" rel=""nofollow"">外場の寺</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"ja",36,FALSE,"教会","190668968","小野不由美作「屍鬼」1998年 新潮社刊 に登場する外場村の寺の若御院こと室井静信の非公式botです。呟きは原作準拠となります。未読の方はご注意ください。TLに対応します◆時々若先生(@Ozaki_Bot)とお喋りしています◆何かあればDMにて",FALSE,"Tue Sep 14 15:01:41 +0000 2010",195617,394,0,FALSE,NA,"室井静信bot","Tokyo","ja",32400,442,"S_Muroi_Bot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","RT @MaleFeetish: @Paulwagnerxxx &amp; @BrandonJonesxxx at @Menatplaycom !! https://t.co/6fcYr8on07",8,FALSE,FALSE,"832348853668044800",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"und",0,FALSE,NA,"763611702197882880",NA,FALSE,"Thu Aug 11 05:43:11 +0000 2016",173,9,3,FALSE,NA,"miguel","Pacific Time (US & Canada)","es",-28800,162,"miguel14991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","67% of people say that lack of storage would affect their buying decision! #OrganizationIsKey",0,FALSE,FALSE,"832348853663825920",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",FALSE,"Thu Feb 16 22:00:05 +0000 2017",NA,NA,"en",23,FALSE,"Chicago, IL","1018387813","Jameson Sotheby's broker associate in Lincoln Park, Chicago. Selling first class properties; representing first class clients.",TRUE,"Mon Dec 17 21:36:52 +0000 2012",2067,62,61,FALSE,"http://www.jillianpotter.com","Jillian Potter",NA,"en",NA,53,"JillianRPotter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
